Seqname	GeneSymbol	Type	Diagrams	Total	Context+	Context	Structure	Energy	"Branch Length"	Pct	8mer	7mer-m8	7mer-A1	6mer	"Offset 6mer"	Imperfect	8mer	7mer-m8	7mer-A1	6mer	"Offset 6mer"	Imperfect	"UTR Length"
XM_014189370	LOC106598323	NonCoding	"Click Me"	7	-2.887	-2.808	1085	-148.46	0		0	0	0	0	0	0	7	0	0	0	0	0	2347
XM_014189369	LOC106598323	NonCoding	"Click Me"	7	-2.88	-2.803	1085	-148.46	0		0	0	0	0	0	0	7	0	0	0	0	0	2369
XM_014187687	fubp1	NonCoding	"Click Me"	6	-1.991	-1.791	876	-96.87	0		0	0	0	0	0	0	6	0	0	0	0	0	4417
XM_014187694	fubp1	NonCoding	"Click Me"	6	-1.991	-1.791	876	-96.87	0		0	0	0	0	0	0	6	0	0	0	0	0	4408
XM_014150348	LOC106574449	NonCoding	"Click Me"	2	-0.772	-0.823	299	-35.74	0		0	0	0	0	0	0	2	0	0	0	0	0	2766
XM_014195232	l2hgdh	NonCoding	"Click Me"	2	-0.673	-0.629	300	-37	0		0	0	0	0	0	0	2	0	0	0	0	0	2558
XM_014191183	LOC106599832	NonCoding	"Click Me"	2	-0.666	-0.658	291	-29.26	0		0	0	0	0	0	0	2	0	0	0	0	0	2068
XM_014195527	ccdc149	NonCoding	"Click Me"	2	-0.62	-0.542	306	-38.12	0		0	0	0	0	0	0	2	0	0	0	0	0	2037
NM_001140876	call4	Coding	"Click Me"	2	-0.618	-0.546	291	-30.66	0		0	0	0	0	0	0	2	0	0	0	0	0	879
XM_014127770	LOC106562770	NonCoding	"Click Me"	2	-0.601	-0.542	294	-33.56	0		0	0	0	0	0	0	2	0	0	0	0	0	1396
XM_014137648	LOC106567845	NonCoding	"Click Me"	1	-0.535	-0.52	169	-25.4	0		0	0	0	0	0	0	1	0	0	0	0	0	4301
XM_014135994	LOC106567100	NonCoding	"Click Me"	1	-0.507	-0.493	158	-21.67	0		0	0	0	0	0	0	1	0	0	0	0	0	2049
XM_014182792	LOC106591577	NonCoding	"Click Me"	1	-0.501	-0.51	148	-18.22	0		0	0	0	0	0	0	1	0	0	0	0	0	2298
XM_014197808	LOC106603752	NonCoding	"Click Me"	1	-0.501	-0.51	148	-18.22	0		0	0	0	0	0	0	1	0	0	0	0	0	1397
XR_001328492	LOC106603752	NonCoding	"Click Me"	1	-0.501	-0.51	148	-18.22	0		0	0	0	0	0	0	1	0	0	0	0	0	1505
XM_014123215	LOC106560365	NonCoding	"Click Me"	1	-0.501	-0.552	153	-17.8	0		0	0	0	0	0	0	1	0	0	0	0	0	8927
XM_014123216	LOC106560365	NonCoding	"Click Me"	1	-0.501	-0.552	153	-17.8	0		0	0	0	0	0	0	1	0	0	0	0	0	7597
XM_014123217	LOC106560365	NonCoding	"Click Me"	1	-0.501	-0.552	153	-17.8	0		0	0	0	0	0	0	1	0	0	0	0	0	7099
XM_014198880	LOC106604344	NonCoding	"Click Me"	1	-0.498	-0.508	148	-18.22	0		0	0	0	0	0	0	1	0	0	0	0	0	1324
XM_014198882	LOC106604344	NonCoding	"Click Me"	1	-0.498	-0.508	148	-18.22	0		0	0	0	0	0	0	1	0	0	0	0	0	1643
XM_014198883	LOC106604344	NonCoding	"Click Me"	1	-0.498	-0.508	148	-18.22	0		0	0	0	0	0	0	1	0	0	0	0	0	1302
